id,name,age,profession,city,image,timestamp,password,home_town,gender,dob,education,mother_tongue,marital_status,phone_number,email,religion,salary,height,zodiac_sign,father_occupation,mother_occupation,bio
1,Arun Kumar,24,Software Engineer,Chennai,https://images.pexels.com/photos/2379005/pexels-photo-2379005.jpeg?auto=compress&cs=tinysrgb&w=600,2025-05-16 10:00:00,mahesh@123,Chennai,Male,1996-04-15,B.Tech,Tamil,Never Married,9876543210,maheshwarank2605@gmail.com,Hindu,18 LPA,159 cm,Aries,Bank Manager,School Teacher,Passionate about technology and music. Looking for a life partner who values family and tradition.
2,Vignesh S,25,Civil Engineer,Coimbatore,https://images.pexels.com/photos/938639/pexels-photo-938639.jpeg?auto=compress&cs=tinysrgb&w=600,2025-05-16 10:01:00,vicky@321,Coimbatore,Male,1993-09-10,M.Tech,Tamil,Never Married,9845123456,vignesh.s@email.com,Hindu,15 LPA,160 cm,Virgo,Retired Govt Officer,Homemaker,Enjoys traveling and exploring new places. Family-oriented and values honesty.
3,Joseph Raj,26,Accountant,Madurai,https://images.pexels.com/photos/1208024/pexels-photo-1208024.jpeg?auto=compress&cs=tinysrgb&w=600,2025-05-16 10:02:00,joseph@456,Madurai,Male,1995-01-20,B.Com,Tamil,Never Married,9003123456,joseph.raj@email.com,Christian,10 LPA,161 cm,Capricorn,Church Pastor,Nurse,God-fearing and simple. Loves reading and spending time with family.
4,Rahul Srinivasan,27,Doctor,Tiruchirappalli,https://images.pexels.com/photos/2590287/pexels-photo-2590287.jpeg?auto=compress&cs=tinysrgb&w=600,2025-05-16 10:03:00,rahul@789,Tiruchirappalli,Male,1997-07-12,MBBS,Tamil,Never Married,9876012345,rahul.srinivasan@email.com,Hindu,20 LPA,162 cm,Cancer,Professor,Doctor,Caring and ambitious. Enjoys volunteering and helping others.
5,Samuel David,28,Professor,Salem,https://images.pexels.com/photos/1902329/pexels-photo-1902329.jpeg?auto=compress&cs=tinysrgb&w=600,2025-05-16 10:04:00,samuel@101,Salem,Male,1994-11-05,PhD,Tamil,Never Married,9090909090,samuel.david@email.com,Christian,14 LPA,163 cm,Scorpio,School Principal,Teacher,Academic and researcher. Loves teaching and inspiring young minds.
6,Amit Sharma,29,Software Engineer,Bangalore,https://images.pexels.com/photos/32068531/pexels-photo-32068531/free-photo-of-elegant-groom-in-traditional-outfit-outdoors.jpeg?auto=compress&cs=tinysrgb&w=600,2025-05-16 10:05:00,amit@123,Delhi,Male,1995-08-10,B.Tech,Hindi,Never Married,9812345678,amit.sharma@email.com,Hindu,22 LPA,164 cm,Leo,Businessman,Homemaker,Tech enthusiast and foodie. Enjoys cricket and movies.
7,Mohammed Irfan,30,Doctor,Hyderabad,https://images.pexels.com/photos/1480358/pexels-photo-1480358.jpeg?auto=compress&cs=tinysrgb&w=600,2025-05-16 10:06:00,irfan@456,Hyderabad,Male,1996-03-22,MBBS,Urdu,Never Married,9000000001,mohammed.irfan@email.com,Muslim,25 LPA,165 cm,Pisces,Lawyer,Homemaker,Compassionate and dedicated doctor. Loves reading and traveling.
8,Siddharth Mehta,31,Chartered Accountant,Ahmedabad,https://images.pexels.com/photos/1337477/pexels-photo-1337477.jpeg?auto=compress&cs=tinysrgb&w=600,2025-05-16 10:07:00,sid@789,Ahmedabad,Male,1993-12-18,CA,Gujarati,Never Married,9825000000,siddharth.mehta@email.com,Jain,18 LPA,166 cm,Sagittarius,Businessman,Homemaker,Finance professional. Enjoys music and fitness.
9,John Mathew,32,Banker,Kochi,https://images.pexels.com/photos/20542649/pexels-photo-20542649/free-photo-of-picture-of-a-male-model.jpeg?auto=compress&cs=tinysrgb&w=600,2025-05-16 10:08:00,john@321,Kochi,Male,1994-06-25,MBA,Malayalam,Never Married,9847000000,john.mathew@email.com,Christian,16 LPA,167 cm,Cancer,Retired Bank Officer,Teacher,Banking professional. Loves football and spending time with family.
10,Rajeev Reddy,33,Mechanical Engineer,Hyderabad,https://images.pexels.com/photos/16591967/pexels-photo-16591967/free-photo-of-young-man-listening-to-music-isolated-over-colour-background-chilling-and-enjoying-music-headphones-music-concept.jpeg?auto=compress&cs=tinysrgb&w=600,2025-05-16 10:09:00,rajeev@654,Hyderabad,Male,1997-02-14,B.E.,Telugu,Never Married,9876000000,rajeev.reddy@email.com,Hindu,14 LPA,168 cm,Aquarius,Engineer,Homemaker,Mechanical engineer with a passion for cars and bikes.
